Time[s],0,2,4,6
0,0,0,0,0
1,-0.75207682,-1.461391599,-0.2678405,0.90562354
2,-1.135748,-1.293933199,-0.01682404,1.028318221
3,-1.22534968,-1.818373799,0.42880868,1.54322354
4,-1.61896834,-2.270909639,0.89853566,1.08989092
5,-1.08106916,-3.39328456,0.43925586,0.672322541
6,-0.541922999,-2.620863599,0.515639921,1.440797701
7,0.48624294,-2.13444976,0.05003274,1.441005421
8,0.53964992,-2.23339918,0.43113412,0.762608801
9,0.498409781,-3.78142168,0.9344848,0.60279902
10,0.577116121,-4.848960999,0.596861441,0.92312216
11,0.49889746,-4.96282692,0.791578361,1.701087461
12,0.318738381,-4.587822019,0.76981506,1.734830381
13,0.48353398,-4.394772759,0.430211879,1.72553238
14,0.39830092,-4.733562979,0.802235419,1.480975101
15,1.017364141,-4.403719719,0.927074441,1.157998261
16,0.850733921,-5.842543539,0.64633318,1.259306281
17,0.129808721,-6.913075399,0.6029971,1.066542841
18,0.172883441,-6.78796398,0.855610561,0.645590921
19,0.66282024,-4.99024348,1.343521461,1.300193461
20,0.765519741,-4.662594879,1.288184681,1.357352041
21,1.241489081,-4.87844716,1.4045536,2.193687261
22,1.388738021,-5.4627037,1.72238418,1.867851381
23,0.47699126,-6.225431059,1.054367919,1.943822961
24,0.4749135,-7.136852779,1.17504746,2.195829801
25,0.37305484,-8.499132359,0.92967572,1.587708081
26,1.032758721,-8.62121846,1.66714426,2.057594641
27,1.68911968,-7.591268039,1.4145689,1.564265861
28,1.896129041,-7.293655919,1.426153921,2.155942961
29,0.758672221,-7.7928693,1.11936952,1.412836421
30,-8.223048899,-15.82203596,-7.47243112,-11.05762178
31,-38.8460492,-45.102567,-34.4721862,-51.78576722
32,-49.30223656,-55.28916682,-43.49925202,-63.79790852
33,-52.02990158,-58.85619842,-46.34699906,-67.15334794
34,-53.070794,-60.57460374,-46.96839418,-68.44039684
35,-53.5338775,-61.48351616,-48.16094288,-69.0317022
36,-54.1319154,-62.200437,-48.26165926,-70.12011678
37,-54.688016,-62.98209948,-49.23968814,-70.4951623
38,-54.64288368,-63.22265598,-49.53586672,-71.15679236
39,-54.91987598,-64.38771894,-50.07772326,-71.53919326
40,-55.28532356,-64.89398248,-50.1621508,-72.06135504
41,-55.22295364,-65.24343842,-50.2803472,-72.70054096
42,-54.99390772,-65.49348436,-50.19321,-72.90862416
43,-55.5212957,-65.67378818,-50.69393758,-73.05519098
44,-55.60576722,-66.02883652,-51.09197098,-73.58438026
45,-55.81382946,-66.2472373,-51.1498072,-73.43639562
46,-55.49219002,-67.0664609,-51.32825274,-73.67135742
47,-55.56217766,-67.34537474,-51.39023198,-73.51046108
48,-55.53674666,-67.40931624,-51.5255515,-73.97816016
49,-56.07172508,-67.9635053,-51.56895606,-74.07811974
50,-56.19115664,-67.95570668,-51.55351796,-74.25632756
51,-56.15117198,-67.7938052,-51.73344796,-74.89107458
52,-56.36708496,-68.0255756,-51.51563968,-74.56095316
53,-56.25181338,-68.32731916,-52.01810148,-74.68016018
54,-56.4824019,-68.55766146,-52.13783132,-75.03555412
55,-56.43560236,-68.79134762,-52.32399206,-75.2654836
56,-56.18645104,-68.88808388,-52.65989924,-75.52439894
57,-56.01229158,-69.39344536,-52.1819578,-75.15028904
58,-56.26606618,-69.52703744,-51.92751458,-75.4940057
59,-55.9587541,-70.2128627,-51.99396056,-75.08860664
60,-50.09839734,-64.15923308,-46.99329178,-65.97847434
61,-15.7907387,-31.56817504,-16.48099902,-23.07373354
62,-3.747890499,-19.94063516,-5.690368179,-8.460548039
63,-1.857575239,-17.7351892,-3.9793065,-5.464724199
64,-0.737306619,-17.04701634,-3.101697579,-5.027408119
65,-0.206676599,-16.25566398,-2.81779568,-4.739139359
66,0.089149441,-15.97330114,-3.2340508,-4.125609799
67,0.128021201,-15.99483128,-2.651497421,-4.187885419
68,0.555319761,-16.70663958,-1.78201594,-3.624578819
69,0.691670841,-17.43298608,-1.322468539,-3.30303212
70,1.170056481,-17.29657988,-1.7696228,-3.245981759
71,1.204279301,-16.07043752,-1.280274099,-3.137326919
72,0.81382872,-15.00425794,-1.556772739,-3.074993859
73,0.733063981,-15.15612076,-1.396562279,-2.467228859
74,0.341995041,-15.54237116,-0.61659806,-2.37486548
75,0.35102466,-15.99287536,-0.26684338,-2.625778839
76,0.444238001,-16.84601308,-0.1985032,-1.785694079
77,0.571898061,-17.3976945,-0.454181,-1.40889772
78,1.01119306,-17.78461046,-0.69281626,-1.223707419
79,1.508260081,-17.71391234,-1.3244985,-1.863728279
80,1.72688932,-17.52173268,-1.31575434,-1.858493579
81,1.779508601,-17.37757292,-0.784412801,-2.654345459
82,1.486102261,-17.28935708,-0.464049839,-2.556082839
83,0.671738261,-17.8333268,-0.788113319,-2.076474299
84,0.684672561,-17.74253376,-1.10110268,-2.436227079
85,1.3329974,-17.86564266,-1.29525796,-2.285731479
86,1.501007582,-17.43226242,-0.66819956,-2.302148298
87,1.525102161,-17.05800328,-0.22679102,-2.591258759
88,1.467008801,-17.59834,-0.53186062,-2.306945539
89,1.23265866,-17.81525224,-0.7830103,-2.22867454
90,1.10688884,-20.2748264,2.1660046,-2.635754479