Class,N1,N2,N3
1,90.89,80.13,79.13
2,90.89,74.26,68.39
3,87.95,73.77,81.11
4,85.5,75.76,77.24
5,85,76.26,78.72
6,87.46,75.8,71.42
7,91.91,69.45,74.36
8,86.55,79.74,76.36
9,91.47,86.15,81.27
10,101.28,90.1,85.68
11,105.69,96.49,89.64
12,112.57,107.27,99.93
13,122.4,106.33,103.86
14,90.89,125.9,108.74
15,157.2,140.12,128.33
16,163.59,144.52,139.62
17,176.3,162.62,143.99
18,201.7,187.06,166.94
19,220.36,202.73,182.61
20,249.28,226.24,200.28
21,264.39,251.18,218.85
22,300.48,284.92,238.39
23,334.29,310.82,274.65
24,385.13,355.27,311.78
25,411.58,380.22,320.1
26,456.15,420.39,356.33
27,499.15,470.31,399.47
28,544.1,503.56,423.87
29,581.26,546.06,462.4
30,638.58,605.25,506.42
31,684.61,641.03,543.16
32,736.46,691.48,583.81
33,784.87,742.29,624.46
34,843.98,796.52,670.4
35,896.39,846.5,709.96
36,949.75,898.42,748.12
37,1001.6,941.92,801.5
38,1050.07,993.23,835.75
39,1111.21,1058.91,872.47
40,1152.3,1097.97,924.79
41,1215.83,1164.44,964.95
42,1262.28,1207.03,1002.97
43,1314.7,1269.73,1052.92
44,1373.41,1326.39,1100.4
45,1419.33,1371.42,1139.53
46,1471.27,1428.7,1188.91
47,1534.33,1483.92,1229.08
48,1586.63,1526.9,1281.95
49,1622.32,1588.63,1320.06
50,1686.9,1636.55,1363.55
51,1731.47,1695.8,1415.88
52,1785.34,1741.27,1451.55
53,1839.06,1792.55,1493.2
54,1886.99,1851.77,1542.17
55,1943.27,1890.48,1584.15
56,1984.82,1942.72,1620.85
57,2034.76,1985.3,1661.52
58,2081.68,2037.69,1701.66
59,2125.69,2077.3,1735.36
60,2171.75,2124.33,1771.59
61,2215.28,2165.35,1810.66
62,2250.03,2206.42,1849.21
63,2293.05,2252.48,1875.17
64,2317.42,2286.68,1906.04
65,2358.54,2316.52,1927.59
66,2388.41,2344.94,1960.81
67,2423.08,2375.16,1990.69
68,2450.95,2420.1,2013.23
69,2477.4,2442.62,2023.46
70,2498.9,2457.25,2051.24
71,2523.34,2482.18,2067.42
72,2539.02,2513.05,2082.57
73,2561.05,2534.59,2105.54
74,2586.37,2554.58,2123.12
75,2600.03,2571.73,2140.27
76,2604.93,2583.98,2152.03
77,2624.53,2594.23,2161.34
78,2639.71,2606.4,2172.51
79,2650.96,2622.08,2183.64
80,2656.9,2639.72,2199.81
81,2674.11,2655.94,2216.5
82,2679.98,2664.81,2230.76
83,2697.56,2669.27,2236.21
84,2704.45,2670.23,2247.52
85,2709.86,2679.51,2257.3
86,2712.81,2693.2,2276.91
87,2703.41,2688.74,2281.84
88,2712.65,2689.7,2288.19
89,2727.34,2697.04,2283.75
90,2715.67,2691.66,2302.8
91,2712.24,2704.36,2306.62
92,2711.75,2687.21,2298.2
93,2705.39,2679.91,2302.14
94,2697.05,2683.39,2304.18
95,2687.26,2677.06,2315.04
96,2685.36,2675.99,2311.16
97,2676.57,2661.77,2317.52
98,2688.3,2662.31,2328.7
99,2685.78,2661.88,2340.75
100,2693.13,2668.25,2331.07
101,2692.27,2666.81,2352.69
102,2703.97,2674.14,2357.15
103,2713.11,2684.42,2381.62
104,2737.59,2696.63,2393.68
105,2747.09,2706.75,2414.2
106,2766.52,2715.17,2452.02
107,2788.07,2739.26,2461.76
108,2823.23,2762.62,2495.04
109,2842.27,2775.38,2518.07
110,2863.88,2806.18,2544.46
111,2895.23,2826.65,2562.03
112,2906.48,2850.07,2607.5
113,2928.95,2870.72,2621.71
114,2934.83,2889.81,2642.2
115,2951.49,2903.59,2663.71
116,2948.59,2914.76,2682.43
117,2965.14,2927.93,2699.6
118,2946.95,2931.4,2690.18
119,2940.31,2940.76,2699.5
120,2928,2943.16,2708.81
121,2910.34,2942.64,2708.29
122,2889.31,2933.45,2695.59
123,2867.3,2917.19,2703.96
124,2843.91,2903.05,2684.4
125,2805.62,2889.78,2682.83
126,2777.2,2871.69,2658.42
127,2737.8,2845.84,2645.23
128,2700.94,2819.37,2627.17
129,2663.8,2788.48,2601.61
130,2618.88,2759.74,2576.26
131,2580.6,2726.91,2552.78
132,2535.2,2681.91,2525.8
133,2493.12,2639.77,2499.97
134,2446.56,2597.37,2466.58
135,2396.24,2555.22,2424.11
136,2353.57,2504.79,2383.95
137,2295.94,2462.31,2336.04
138,2250.85,2405.93,2295.45
139,2190.27,2344.83,2251.39
140,2136.88,2289.55,2190.76
141,2085.15,2225.95,2146.26
142,2010.71,2161.88,2085.51
143,1943.64,2094.35,2020.54
144,1880.08,2026.34,1960.77
145,1823.29,1942.21,1892.81
146,1752.44,1875.72,1820.36
147,1677.49,1792.05,1749.91
148,1601.73,1717.15,1671.76
149,1530.21,1617.4,1592.37
150,1440.82,1536.08,1502.95
151,1359.55,1444.22,1411.84
152,1271.51,1343.31,1314.05
153,1177.59,1258.33,1220.12
154,1078.2,1135.42,1110.04
155,984.29,1025.9,998.51
156,884.06,915.86,902.04
157,763.66,801.35,781.31
158,651.69,676.62,651.68
159,528.29,544.5,532.82
160,408.97,406.01,400.21
161,228.98,221.6,211.75
162,79.36,72.01,64.2
163,113.87,107.55,103.64
164,114.86,103.15,97.28
165,116.32,102.2,103.13
166,114.84,110,100.2
167,109.98,105.57,107.06
168,108.03,104.61,102.67
169,115.86,107.55,105.59
170,115.36,107.07,105.12
171,121.23,108.04,108.52
172,117.81,109.99,104.6
173,125.13,112.91,109.51
174,124.15,111.92,107.52
175,131.01,121.73,109.98
176,123.65,119.26,114.37
177,135.38,122.2,120.71
178,137.83,126.08,117.27
179,136.84,131.94,120.68
180,146.16,131.46,120.71
181,148.11,131.45,123.64
182,150.07,144.68,127.04
183,154.48,141.75,138.31
184,163.3,144.68,140.76
185,161.83,151.54,146.64
186,167.71,153.99,150.56
187,173.1,162.32,145.18
188,176.53,169.67,152.52
189,187.31,180.94,169.18
190,193.68,186.33,170.65
191,187.31,188.78,175.06
192,207.89,195.63,183.39
193,208.82,198.57,192.21
194,220.04,205.4,190.25
195,233.75,205.87,198.57
196,245.01,215.62,201.98
197,251.85,228.84,208.31
198,257.26,241.58,213.66
199,266.48,243.54,227.86
200,287.53,257.24,233.74
201,294.87,262.1,246.97
202,303.69,276.75,252.35
203,308.59,293.9,256.27
204,311.53,301.73,276.78
205,343.87,304.18,283.13
206,356.61,306.63,301.24
207,365.43,328.68,300.75
208,372.24,352.2,306.14
209,395.18,349.26,311.53
210,405.43,371.29,328.19
211,425.47,379.07,344.85
212,430.33,385.4,360.04
213,460.16,405.95,360
214,468.95,415.73,375.12
215,471.41,430.41,389.8
216,497.37,443.1,400.07
217,510.62,459.22,411.3
218,522.34,471.92,423.5
219,540.43,487.08,436.73
220,551.66,486.6,440.16
221,560,508.12,461.22
222,586.98,524.23,473.39
223,601.63,540.38,486.6
224,627.63,557.04,493.94
225,641.82,565.37,508.57
226,661.36,578.13,521.27
227,678.98,602.65,536.45
228,701.85,617.84,565.37
229,719.52,640.35,572.24
230,750.82,652.55,587.45
231,760.2,672.66,611.96
232,783.73,694.62,625.7
233,810.68,716.59,646.24
234,831.14,739.59,660.9
235,852.24,754.81,682.43
236,876.23,773.93,705.8
237,904.12,794.4,718.05
238,926.16,822.31,735.69
239,955.48,839.04,749.93
240,967.26,858.15,770.5
241,999.06,884.12,788.57
242,1019.14,916.83,820.84
243,1049.93,938.33,840.02
244,1064.18,949.14,856.17
245,1099.85,980.48,882.19
246,1114.45,990.27,910.58
247,1150.18,1025.97,925.17
248,1177.14,1053.87,957.93
249,1205.54,1078.81,984.78
250,1248.97,1110.6,1010.29
251,1287.13,1148.73,1041.16
252,1331.14,1186.4,1082.31
253,1365.43,1228.94,1109.63
254,1392.31,1273.93,1150.6
255,1432.34,1313,1191.23
256,1473.44,1349.74,1232.88
257,1510.16,1382.01,1264.06
258,1550.85,1417.73,1297.39
259,1576.78,1452.93,1330.15
260,1610.07,1488.73,1360.98
261,1646.77,1511.23,1386.94
262,1681.47,1533.26,1426.18
263,1696.59,1566.97,1451.02
264,1729.44,1587.08,1483.79
265,1759.69,1614.9,1511.78
266,1792.97,1641.84,1549.31
267,1821.42,1664.75,1579.27
268,1866.85,1704.47,1611.39
269,1897.75,1732.31,1644.3
270,1936.75,1765.7,1688.84
271,1973.53,1794.94,1715.19
272,2020.95,1837.02,1756.84
273,2056.67,1872.72,1803.77
274,2086.09,1911.79,1843.84
275,2135.43,1946.69,1886.38
276,2164.82,1985.3,1911.85
277,2198.53,2014.59,1952.05
278,2225.07,2044.92,1967.64
279,2258.26,2066.45,1996.59
280,2275.27,2086.51,2014.13
281,2288.54,2098.36,2024.34
282,2289.56,2116.36,2022.98
283,2284.62,2118.35,2030.31
284,2282.22,2112.46,2016.06
285,2262.76,2114.4,2007.72
286,2241.1,2086,1982.28
287,2215.2,2087.03,1960.39
288,2188.32,2063.08,1933.38
289,2150.67,2036.58,1900.16
290,2124.26,2021.37,1874.8
291,2084.64,1993.06,1841.39
292,2049.86,1964.67,1801.69
293,2000.35,1936.85,1768.42
294,1962.23,1907.59,1728.47
295,1916.88,1880.58,1697.14
296,1877.63,1843.47,1666.29
297,1819.48,1817.55,1624.16
298,1793.57,1776.36,1593.88
299,1745.09,1732.77,1552.24
300,1697.13,1680.94,1520.05
301,1651.2,1631.57,1484.84
302,1595.3,1570.76,1434.79
303,1539.58,1510.69,1386.5
304,1490.64,1430,1321.95
305,1432.51,1355.7,1264.68
306,1362.59,1281.86,1212.78
307,1292.59,1202.02,1138.55
308,1225.06,1133.09,1076.82
309,1153.63,1059.69,1019.01
310,1087.51,988.64,944.24
311,1004.83,908.51,876.64
312,932.99,833.1,812.05
313,872.28,768,749.58
314,798.43,707.41,697.54
315,730.38,647.62,631.97
316,663.46,587.54,580.79
317,598.22,528.84,521.94
318,526.43,477.93,461.82
319,459.43,419.29,399.24
320,394.35,363.45,354.19
321,301.91,278.84,264.67